geometry_id,geometry
67,"LINESTRING (-120.6546503 47.5975424, -120.654564 47.5975882, -120.654294 47.5977315, -120.6539589 47.5979094, -120.6538224 47.5979819, -120.6535546 47.5981239)"
68,"LINESTRING (-120.6712629 47.5899738, -120.6714406 47.5901182, -120.6714726 47.5901442, -120.6715001 47.5901666, -120.6715665 47.5902205)"
69,"LINESTRING (-120.6712629 47.5899738, -120.6703217 47.5905744, -120.6702168 47.5906193, -120.6700733 47.5906325, -120.6699629 47.5906303)"
70,"LINESTRING (-120.6712629 47.5899738, -120.6713492 47.5899223, -120.6714983 47.5898333, -120.6715597 47.5897938, -120.671603 47.5897706, -120.6716592 47.5897578, -120.6717905 47.5897509, -120.6719059 47.5897396, -120.6719936 47.5897226, -120.6720771 47.5896833, -120.6721273 47.5896251, -120.672151 47.5895776, -120.6721594 47.5895, -120.6721556 47.5881752)"
71,"LINESTRING (-120.6715665 47.5902205, -120.6714857 47.5902726, -120.6710791 47.5905348, -120.6710018 47.5905859, -120.6705767 47.5908669, -120.6702783 47.5910642, -120.6701407 47.5911552, -120.6699196 47.5913106, -120.6697727 47.5914095, -120.6695436 47.5915589, -120.6690943 47.5918469, -120.6685627 47.5921983, -120.668205 47.5924347, -120.667632 47.5927889)"
72,"LINESTRING (-120.6715665 47.5902205, -120.6715001 47.5901666, -120.6714726 47.5901442, -120.6714406 47.5901182, -120.6712629 47.5899738)"
73,"LINESTRING (-120.6715665 47.5902205, -120.6716524 47.5902801, -120.6716799 47.5902991, -120.6724915 47.5908617, -120.6729022 47.5911585)"
74,"LINESTRING (-120.6729022 47.5911585, -120.6733427 47.5914673, -120.6737738 47.5917638)"
75,"LINESTRING (-120.6729022 47.5911585, -120.6724915 47.5908617, -120.6716799 47.5902991, -120.6716524 47.5902801, -120.6715665 47.5902205)"
76,"LINESTRING (-120.6729022 47.5911585, -120.6721952 47.5916185, -120.6720374 47.5917212, -120.6718918 47.591816)"
77,"LINESTRING (-120.6620572 47.5970217, -120.6633896 47.5970316)"
78,"LINESTRING (-120.6620572 47.5970217, -120.6620411 47.5974358, -120.6620271 47.597892)"
79,"LINESTRING (-120.6620572 47.5970217, -120.6619551 47.5970094, -120.6618728 47.5969889, -120.6618083 47.596959, -120.6617491 47.5969084)"
80,"LINESTRING (-120.6669259 47.5970332, -120.6664611 47.5970276, -120.666053 47.5970228, -120.6658782 47.5970207, -120.6658315 47.5970201, -120.6655192 47.5970163, -120.6652957 47.5970135, -120.6651374 47.5970115)"
81,"LINESTRING (-120.6669259 47.5970332, -120.6677287 47.5970447, -120.6678543 47.5970465, -120.6685726 47.5970569, -120.6686127 47.5970575, -120.6687229 47.5970591)"
82,"LINESTRING (-120.6669259 47.5970332, -120.6669368 47.5969859, -120.6669897 47.5969354, -120.6670563 47.5968925, -120.6671544 47.596841, -120.6676123 47.5966, -120.6678317 47.5964845, -120.6684457 47.5961612, -120.6685217 47.596118, -120.6685478 47.5961032, -120.6687182 47.5959712)"
83,"LINESTRING (-120.6669259 47.5970332, -120.6669144 47.5970825, -120.6669166 47.5972614, -120.6669166 47.5972783, -120.6669185 47.5973838, -120.6669182 47.5974703, -120.6669182 47.5975981, -120.6669176 47.5976186, -120.6669161 47.5976696, -120.6669093 47.5979019, -120.6669002 47.5982093, -120.6668988 47.5982572, -120.6668959 47.5983553, -120.6668754 47.5987801, -120.6668767 47.5988474)"
84,"LINESTRING (-120.6687229 47.5970591, -120.6686127 47.5970575, -120.6685726 47.5970569, -120.6678543 47.5970465, -120.6677287 47.5970447, -120.6669259 47.5970332)"
85,"LINESTRING (-120.6687229 47.5970591, -120.6687221 47.5970086, -120.6687191 47.596824, -120.6687169 47.5966902)"
86,"LINESTRING (-120.6687229 47.5970591, -120.6687215 47.5971025, -120.6687157 47.5972776, -120.6687146 47.5973435, -120.6687131 47.5974414, -120.6687124 47.5976092, -120.668711 47.5979165, -120.6687108 47.5979669)"
87,"LINESTRING (-120.6564086 47.600518, -120.6574704 47.6005323, -120.6577783 47.6005365, -120.6578939 47.6005381)"
